,name,rating,reviews,ctype,hq,old,employees
5001,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
5002,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
5003,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
5004,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
5005,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
5006,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
5007,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
5008,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
5009,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
5010,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
5011,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
5012,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
5013,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
5014,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
5015,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
5016,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
5017,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
5018,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
5019,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
5020,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
5021,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
5022,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
5023,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
5024,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
5025,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
5026,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
5027,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
5028,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
5029,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
5030,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
5031,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
5032,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
5033,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
5034,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
5035,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
5036,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
5037,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
5038,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
5039,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
5040,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
5041,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
5042,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
