,name,rating,reviews,ctype,hq,old,employees
4870,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
4871,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
4872,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
4873,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
4874,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
4875,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
4876,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
4877,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
4878,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
4879,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
4880,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
4881,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
4882,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
4883,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4884,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
4885,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
4886,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
4887,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
4888,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
4889,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
4890,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
4891,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
4892,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
4893,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
4894,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
4895,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
4896,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
4897,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
4898,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
4899,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
4900,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
4901,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
4902,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
4903,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4904,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
4905,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
4906,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
4907,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
4908,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
4909,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
4910,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
4911,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
4912,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
